Team,A Move,Gravy,Outer,Low,Missed NEG,Gravy,High,Low ,Missed NEG,Rotation,Position,Climbed,Climb Tik NEG,Z-score FINAL
2839,-0.6665026623,-0.5138173316,-0.1114219235,-0.1739352611,0,-1.502465438,-0.9311659176,-0.3241099281,0,0,0,0.3535533906,-0.2105429045,-4.080407977
2945,0.4071725355,-0.5138173316,0.09510490544,-0.1739352611,0,-1.502465438,-0.9311659176,-0.3241099281,0,0,0,0.8838834765,-0.7986795327,-2.858012492
2984,0.4071725355,0.0789458921,-0.1114219235,-0.1739352611,0,-1.502465438,-0.8495878459,-0.3241099281,0,0,0,0.8838834765,-0.6434768114,-2.234995304
3128,-1.228903956,-0.5138173316,-0.6129870796,-0.1739352611,0,-0.2884624272,-0.5931996205,-0.3241099281,0,0,0,0.5050762723,-0.2210453443,-3.451384677
3255,-0.001846587463,-0.5138173316,0.8031968905,-0.1739352611,0,-0.2884624272,4.441332805,-0.3241099281,0,0,0,0.5050762723,-0.8371884786,3.610245954
3341,0.04928080291,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-1.339056276,0.03806660229,0,0,0,0.08838834765,-0.04717161895,-4.131712584
3647,0.4071725355,6.938063195,2.337396191,-0.1739352611,0,12.45856919,4.161636559,-0.3241099281,0,0,0,-0.1010152545,-0.2023743403,25.50140289
3749,0.4071725355,-0.5138173316,0.6114219779,-0.1739352611,0,0.09091351379,-0.9311659176,-0.3241099281,0,0,0,0.3535533906,-0.5372854757,-1.017252496
3859,-0.3086109297,0.6717091158,0.8179488068,-0.1739352611,0,2.746545101,1.924066592,-0.3241099281,0,0,0,0.6187184335,-0.54545404,5.42687789
3882,0.4071725355,0.1636263526,1.275258214,-0.1739352611,0,-0.8954639328,1.737602428,-0.3241099281,0,0,0,0.8081220356,-0.1090193199,2.889253124
3889,0.04928080291,-0.5138173316,-0.7310024104,-0.1739352611,0,-0.4402128036,-1.257478204,1.245321703,0,0,0,0.3535533906,-0.7741738398,-2.242463954
3965,0.4071725355,-0.5138173316,-0.7310024104,0.7205889389,0,-1.502465438,-1.05936003,0.08980610663,0,0,0,-0.7071067812,1.048582932,-2.247601479
4276,0.4071725355,-0.5138173316,-0.6129870796,-0.1739352611,0,-0.2884624272,-0.03380712882,-0.3241099281,0,0,0,-0.7071067812,-0.3144003647,-2.561453767
4419,0.4071725355,-0.5138173316,-0.421212167,4.000511006,0,-1.502465438,-1.094322061,1.184958948,0,0,0,1.149048519,-0.3820827544,2.827791257
4486,0.4071725355,-0.5138173316,-0.5244755815,-0.1739352611,0,0.6220398312,-1.012743989,0.5209686428,0,0,0,-0.1767766953,0.1652110523,-0.686356797
4583,0.04928080291,-0.5138173316,0.4048951489,-0.1739352611,0,-1.502465438,-1.339056276,-0.3241099281,0,0,0,-0.7071067812,0.6063135234,-3.500001541
4698,0.04928080291,-0.5138173316,0.8179488068,-0.1739352611,0,1.684292466,1.189863947,-0.3241099281,0,0,0,0.6187184335,0.1978853094,3.546127245
4738,-0.3086109297,-0.5138173316,-0.7310024104,-0.1739352611,0,3.808797736,-0.6048536308,-0.3241099281,0,0,0,0.3535533906,-0.3167342402,1.189287394
4763,0.4071725355,-0.5138173316,-0.421212167,-0.1739352611,0,-0.971339121,-0.8495878459,-0.3241099281,0,0,0,-0.7071067812,0.6879991662,-2.865936734
4919,0.04928080291,0.6717091158,0.3016317344,-0.1739352611,0,-1.502465438,-1.012743989,-0.3241099281,0,0,0,0.6187184335,-1.00289364,-2.37480817
4984,0.4071725355,-0.5138173316,-0.7310024104,1.130579197,0,-1.502465438,-1.339056276,4.263459456,0,0,0,0.6187184335,-0.9947250754,1.338863091
5025,-0.3086109297,-0.5138173316,0.1983683199,-0.1739352611,0,3.277671418,1.35302009,-0.3241099281,0,0,0,0.08838834765,-0.5862968614,3.010677864
5107,0.04928080291,-0.5138173316,-0.7310024104,-0.1739352611,0,-1.502465438,-0.9311659176,-0.263747173,0,0,0,-0.7071067812,0.3040766451,-4.469882865
